date,state,death,positive,recovered,existing,suspected
2021/3/7,PA,24349,948643,861756,62538,91357
2021/3/6,PA,24317,946985,859218,63450,93015
2021/3/5,PA,24262,944196,859218,60716,95804
2021/3/4,PA,24219,941439,856709,60511,98561
2021/3/3,PA,24169,938411,844569,69673,101589
2021/3/2,PA,24100,935834,851608,60126,104166
2021/3/1,PA,24026,933270,849275,59969,106730
2021/2/28,PA,24021,931642,836727,70894,108358
2021/2/27,PA,23937,929697,836727,69033,110303
2021/2/26,PA,23937,926336,833702,68697,113664
2021/2/25,PA,23868,922990,830691,68431,117010
2021/2/24,PA,23787,920634,828570,68277,119366
2021/2/23,PA,23711,917848,816884,77253,122152
2021/2/22,PA,23614,915018,814366,77038,124982
2021/2/21,PA,23597,913497,811315,78585,126503
2021/2/20,PA,23570,911591,811315,76706,128409
2021/2/19,PA,23480,908773,799720,85573,131227
2021/2/18,PA,23413,905995,797275,85307,134005
2021/2/17,PA,23319,902650,794332,84999,137350
2021/2/16,PA,23126,899237,791328,84783,140763
2021/2/15,PA,23119,896860,776339,97402,143140
2021/2/14,PA,23096,894915,776339,95480,145085
2021/2/13,PA,23072,892344,776339,92933,147656
2021/2/12,PA,22959,888256,772782,92515,151744
2021/2/11,PA,22860,884269,760471,100938,155731
2021/2/10,PA,22745,880291,757050,100496,159709
2021/2/9,PA,22620,876913,745376,108917,163087
2021/2/8,PA,22471,872825,735763,114591,167175
2021/2/7,PA,22467,870321,735763,112091,169679
2021/2/6,PA,22396,865604,735763,107445,174396
2021/2/5,PA,22239,861674,723806,115629,178326
2021/2/4,PA,22101,856986,719868,115017,183014
2021/2/3,PA,21955,853616,708501,123160,186384
2021/2/2,PA,21812,850488,697400,131276,189512
2021/2/1,PA,21687,846078,693783,130608,193922
2021/1/31,PA,21661,843224,688175,133388,196776
2021/1/30,PA,21602,839239,688175,129462,200761
2021/1/29,PA,21462,834048,675578,137008,205952
2021/1/28,PA,21303,824405,667768,135334,215595
2021/1/27,PA,21105,818369,654695,142569,221631
2021/1/26,PA,20883,812495,641871,149741,227505
2021/1/25,PA,20664,807867,638214,148989,232133
2021/1/24,PA,20609,803933,631966,151358,236067
2021/1/23,PA,20526,799957,631966,147465,240043
2021/1/22,PA,20321,794172,627395,146456,245828
2021/1/21,PA,20128,788834,615290,153416,251166
2021/1/20,PA,19868,783170,610872,152430,256830
2021/1/19,PA,19467,777186,598433,159286,262814
2021/1/18,PA,19390,771845,594320,158135,268155
2021/1/17,PA,19310,767800,578950,169540,272200
2021/1/16,PA,19188,761777,578950,163639,278223
2021/1/15,PA,18957,754611,573504,162150,285389
2021/1/14,PA,18742,748564,568908,160914,291436
2021/1/13,PA,18429,741389,556041,166919,298611
2021/1/12,PA,18080,733429,542737,172612,306571
2021/1/11,PA,17853,726154,537353,170948,313846
2021/1/10,PA,17770,720816,520490,182556,319184
2021/1/9,PA,17667,713310,520490,175153,326690
2021/1/8,PA,17394,703265,513383,172488,336735
2021/1/7,PA,17179,693087,499022,176886,346913
2021/1/6,PA,16914,683389,485206,181269,356611
2021/1/5,PA,16546,673915,471740,185629,366085
2021/1/4,PA,16361,665097,465567,183169,374903
2021/1/3,PA,16295,661871,453531,192045,378129
2021/1/2,PA,16239,657292,453531,187522,382708
2021/1/1,PA,16214,648039,429017,202808,391961
2020/12/31,PA,15978,640325,429017,195330,399675
2020/12/30,PA,15672,631333,416679,198982,408667
2020/12/29,PA,15353,622349,404526,202470,417651
2020/12/28,PA,15086,613804,392834,205884,426196
2020/12/27,PA,15010,610025,381238,213777,429975
2020/12/26,PA,14883,605141,381238,209020,434859
2020/12/25,PA,14857,597560,371943,210760,442440
2020/12/24,PA,14718,590386,371943,203725,449614
2020/12/23,PA,14442,581156,360316,206398,458844
2020/12/22,PA,14212,571551,348646,208693,468449
2020/12/21,PA,13981,563589,343789,205819,476411
2020/12/20,PA,13924,555702,334578,207200,484298
2020/12/19,PA,13825,548489,334578,200086,491511
2020/12/18,PA,13608,538655,323193,201854,501345
2020/12/17,PA,13392,529335,317601,198342,510665
2020/12/16,PA,13168,519369,306427,199774,520631
2020/12/15,PA,12890,509320,295405,201025,530680
2020/12/14,PA,12620,499764,289863,197281,540236
2020/12/13,PA,12565,491802,279048,200189,548198
2020/12/12,PA,12436,481118,279048,189634,558882
2020/12/11,PA,12235,470034,272619,185180,569966
2020/12/10,PA,12010,457289,265227,180052,582711
2020/12/9,PA,11762,445317,258283,175272,594683
2020/12/8,PA,11542,436614,248869,176203,603386
2020/12/7,PA,11373,426444,247337,167734,613556
2020/12/6,PA,11331,420114,238660,170123,619886
2020/12/5,PA,11262,411484,238660,161562,628516
2020/12/4,PA,11113,398600,231188,156299,641400
2020/12/3,PA,10944,386837,228233,147660,653163
2020/12/2,PA,10757,375431,225258,139416,664569
2020/12/1,PA,10563,367140,220284,136293,672860
2020/11/30,PA,10383,361464,216878,134203,678536
2020/11/29,PA,10351,357196,214516,132329,682804
2020/11/28,PA,10275,351667,214516,126876,688333
2020/11/27,PA,10234,343614,209604,123776,696386
2020/11/26,PA,10213,336254,203253,122788,703746
2020/11/25,PA,10095,327829,203253,114481,712171
2020/11/24,PA,9951,321070,202274,108845,718930
2020/11/23,PA,9870,314401,198072,106459,725599
2020/11/22,PA,9842,309639,193640,106157,730361
2020/11/21,PA,9801,302564,193640,99123,737436
2020/11/20,PA,9689,295786,192260,93837,744214
2020/11/19,PA,9581,288978,190725,88672,751022
2020/11/18,PA,9465,281852,186022,86365,758148
2020/11/17,PA,9355,275513,184593,81565,764487
2020/11/16,PA,9325,269613,183336,76952,770387
2020/11/15,PA,9312,265137,178070,77755,774863
2020/11/14,PA,9274,259938,178070,72594,780062
2020/11/13,PA,9224,254387,178070,67093,785613
2020/11/12,PA,9194,248856,176687,62975,791144
2020/11/11,PA,9145,243368,172791,61432,796632
2020/11/10,PA,9086,238657,171833,57738,801343
2020/11/9,PA,9024,234296,171036,54236,805704
2020/11/8,PA,9020,230894,168708,53166,809106
2020/11/7,PA,9015,227985,168708,50262,812015
2020/11/6,PA,8975,223950,165723,49252,816050
2020/11/5,PA,8937,220566,165424,46205,819434
2020/11/4,PA,8890,217666,163249,45527,822334
2020/11/3,PA,8855,214871,161153,44863,825129
2020/11/2,PA,8823,211996,161116,42057,828004
2020/11/1,PA,8817,209936,158100,43019,830064
2020/10/31,PA,8812,208027,158100,41115,831973
2020/10/30,PA,8784,205517,156192,40541,834483
2020/10/29,PA,8762,202876,156214,37900,837124
2020/10/28,PA,8718,200674,154518,37438,839326
2020/10/27,PA,8696,198446,152803,36947,841554
2020/10/26,PA,8673,195695,152642,34380,844305
2020/10/25,PA,8666,194288,150245,35377,845712
2020/10/24,PA,8654,192622,150245,33723,847378
2020/10/23,PA,8625,190579,148651,33303,849421
2020/10/22,PA,8592,188360,148804,30964,851640
2020/10/21,PA,8562,186297,147174,30561,853703
2020/10/20,PA,8533,184872,146048,30291,855128
2020/10/19,PA,8500,183315,146652,28163,856685
2020/10/18,PA,8492,182212,144754,28966,857788
2020/10/17,PA,8466,180943,144754,27723,859057
2020/10/16,PA,8457,179086,143268,27361,860914
2020/10/15,PA,8432,177520,142016,27072,862480
2020/10/14,PA,8411,175922,140737,26774,864078
2020/10/13,PA,8384,174646,139716,26546,865354
2020/10/12,PA,8368,173304,140376,24560,866696
2020/10/11,PA,8350,172216,138550,25316,867784
2020/10/10,PA,8344,171050,138550,24156,868950
2020/10/9,PA,8308,169308,137139,23861,870692
2020/10/8,PA,8299,167928,136021,23608,872072
2020/10/7,PA,8272,166552,134907,23373,873448
2020/10/6,PA,8244,165243,135499,21500,874757
2020/10/5,PA,8227,164207,134649,21331,875793
2020/10/4,PA,8216,163535,134098,21221,876465
2020/10/3,PA,8199,161284,132252,20833,878716
2020/10/2,PA,8179,161284,132252,20853,878716
2020/10/1,PA,8160,160123,131300,20663,879877
2020/9/30,PA,8142,158967,130352,20473,881033
2020/9/29,PA,8123,157814,127829,21862,882186
2020/9/28,PA,8107,156826,128597,20122,883174
2020/9/27,PA,8106,156150,127290,20754,883850
2020/9/26,PA,8103,155232,127290,19839,884768
2020/9/25,PA,8081,154203,126446,19676,885797
2020/9/24,PA,8079,153397,125785,19533,886603
2020/9/23,PA,8062,152544,123560,20922,887456
2020/9/22,PA,8023,151646,122833,20790,888354
2020/9/21,PA,8004,150812,123665,19143,889188
2020/9/20,PA,7981,150578,122872,19725,889422
2020/9/19,PA,7956,149845,122872,19017,890155
2020/9/18,PA,7934,148683,121920,18829,891317
2020/9/17,PA,7913,147923,121296,18714,892077
2020/9/16,PA,7903,146990,120531,18556,893010
2020/9/15,PA,7875,146214,119895,18444,893786
2020/9/14,PA,7869,145063,118951,18243,894937
2020/9/13,PA,7837,143881,117920,18124,896119
2020/9/12,PA,7837,143805,117920,18048,896195
2020/9/11,PA,7837,142885,117165,17883,897115
2020/9/10,PA,7820,141877,116339,17718,898123
2020/9/9,PA,7805,141290,115857,17628,898710
2020/9/8,PA,7791,140359,113690,18878,899641
2020/9/7,PA,7780,139863,114687,17396,900137
2020/9/6,PA,7760,139316,114239,17317,900684
2020/9/5,PA,7760,138625,112286,18579,901375
2020/9/4,PA,7742,137662,112882,17038,902338
2020/9/3,PA,7732,136771,110784,18255,903229
2020/9/2,PA,7712,135611,111201,16698,904389
2020/9/1,PA,7691,134795,109183,17921,905205
2020/8/31,PA,7673,134025,109900,16452,905975
2020/8/30,PA,7673,133504,109473,16358,906496
2020/8/29,PA,7671,132834,108923,16240,907166
2020/8/28,PA,7655,131991,106912,17424,908009
2020/8/27,PA,7635,131156,106236,17285,908844
2020/8/26,PA,7624,130536,105734,17178,909464
2020/8/25,PA,7605,130035,105328,17102,909965
2020/8/24,PA,7579,129474,104873,17022,910526
2020/8/23,PA,7578,129048,103238,18232,910952
2020/8/22,PA,7576,128429,102743,18110,911571
2020/8/21,PA,7558,127633,102106,17969,912367
2020/8/20,PA,7538,126940,101552,17850,913060
2020/8/19,PA,7523,126149,99657,18969,913851
2020/8/18,PA,7499,125579,99207,18873,914421
2020/8/17,PA,7468,124844,98626,18750,915156
2020/8/16,PA,7468,124460,98323,18669,915540
2020/8/15,PA,7465,123800,96564,19771,916200
2020/8/14,PA,7445,122950,95901,19604,917050
2020/8/13,PA,7409,122121,95254,19458,917879
2020/8/12,PA,7385,121130,94481,19264,918870
2020/8/11,PA,7352,120281,92616,20313,919719
2020/8/10,PA,7317,119453,91978,20158,920547
2020/8/9,PA,7314,118852,90930,20608,921148
2020/8/8,PA,7313,118092,90930,19849,921908
2020/8/7,PA,7297,117279,90304,19678,922721
2020/8/6,PA,7282,116521,88555,20684,923479
2020/8/5,PA,7244,115714,87942,20528,924286
2020/8/4,PA,7232,115009,86256,21521,924991
2020/8/3,PA,7209,114155,86757,20189,925845
2020/8/2,PA,7209,113590,86328,20053,926410
2020/8/1,PA,7204,112936,85831,19901,927064
2020/7/31,PA,7189,112048,84036,20823,927952
2020/7/30,PA,7176,111078,83308,20594,928922
2020/7/29,PA,7162,110218,82663,20393,929782
2020/7/28,PA,7146,109384,82038,20200,930616
2020/7/27,PA,7122,108264,81198,19944,931736
2020/7/26,PA,7118,107425,80568,19739,932575
2020/7/25,PA,7114,106625,79968,19543,933375
2020/7/24,PA,7101,105571,79178,19292,934429
2020/7/23,PA,7079,104358,78268,19011,935642
2020/7/22,PA,7063,103396,77547,18786,936604
2020/7/21,PA,7038,102765,77073,18654,937235
2020/7/20,PA,7018,101738,76780,17940,938262
2020/7/19,PA,7015,101027,76780,17232,938973
2020/7/18,PA,7007,100241,76183,17051,939759
2020/7/17,PA,6992,99478,75603,16883,940522
2020/7/16,PA,6973,98446,74818,16655,941554
2020/7/15,PA,6957,97665,74436,16272,942335
2020/7/14,PA,6931,96671,74436,15304,943329
2020/7/13,PA,6911,95742,73721,15110,944258
2020/7/12,PA,6904,95266,73354,15008,944734
2020/7/11,PA,6897,94689,72910,14882,945311
2020/7/10,PA,6880,93876,72284,14712,946124
2020/7/9,PA,6848,92867,71507,14512,947133
2020/7/8,PA,6812,92148,70953,14383,947852
2020/7/7,PA,6787,91299,70437,14075,948701
2020/7/6,PA,6754,90304,70437,13113,949696
2020/7/5,PA,6753,89854,70086,13015,950146
2020/7/4,PA,6749,89375,69712,12914,950625
2020/7/3,PA,6746,88741,69217,12778,951259
2020/7/2,PA,6712,88074,68697,12665,951926
2020/7/1,PA,6649,87242,68048,12545,952758
2020/6/30,PA,6649,86606,67552,12405,953394
2020/6/29,PA,6614,85988,67070,12304,954012
2020/6/28,PA,6579,85496,66686,12231,954504
2020/6/27,PA,6579,84370,65808,11983,955630
2020/6/26,PA,6579,84370,65808,11983,955630
2020/6/25,PA,6557,83770,65340,11873,956230
2020/6/24,PA,6518,83191,64502,12171,956809
2020/6/23,PA,6464,82696,64502,11730,957304
2020/6/22,PA,6426,82186,64105,11655,957814
2020/6/21,PA,6423,81730,62932,12375,958270
2020/6/20,PA,6419,81266,62574,12273,958734
2020/6/19,PA,6399,80762,62186,12177,959238
2020/6/18,PA,6361,80236,60979,12896,959764
2020/6/17,PA,6319,79818,59863,13636,960182
2020/6/16,PA,6276,79483,59612,13595,960517
2020/6/15,PA,6243,79121,58549,14329,960879
2020/6/14,PA,6215,78798,58310,14273,961202
2020/6/13,PA,6211,78462,58061,14190,961538
2020/6/12,PA,6162,77999,56939,14898,962001
2020/6/11,PA,6113,77933,55665,16155,962067
2020/6/10,PA,6062,77466,54560,16844,962534
2020/6/9,PA,6014,77056,53670,17372,962944
2020/6/8,PA,5953,76563,53670,16940,963437
2020/6/7,PA,5943,76212,53670,16599,963788
2020/6/6,PA,5931,75706,52560,17215,964294
2020/6/5,PA,5886,75005,52069,17050,964995
2020/6/4,PA,5817,74560,51019,17724,965440
2020/6/3,PA,5741,74022,49915,18366,965978
2020/6/2,PA,5667,73510,48838,19005,966490
2020/6/1,PA,5567,72898,48428,18903,967102
2020/5/31,PA,5555,72546,48190,18801,967454
2020/5/30,PA,5537,72031,47133,19361,967969
2020/5/29,PA,5464,71339,46370,19505,968661
2020/5/28,PA,5373,70042,44826,19843,969958
2020/5/27,PA,5265,69417,43038,21114,970583
2020/5/26,PA,5152,68637,41868,21617,971363
2020/5/25,PA,5139,68186,40911,22136,971814
2020/5/24,PA,5124,67713,40627,21962,972287
2020/5/23,PA,5096,66983,39519,22368,973017
2020/5/22,PA,4984,66258,37767,23507,973742
2020/5/21,PA,4869,65392,0,60523,974608
2020/5/20,PA,4624,63666,0,59042,976334
2020/5/19,PA,4624,63666,0,59042,976334
2020/5/18,PA,4505,63056,0,58551,976944
2020/5/17,PA,4418,62234,0,57816,977766
2020/5/16,PA,4403,61611,0,57208,978389
2020/5/15,PA,4342,60622,0,56280,979378
2020/5/14,PA,4218,59636,0,55418,980364
2020/5/13,PA,3943,58698,0,54755,981302
2020/5/12,PA,3806,57991,0,54185,982009
2020/5/11,PA,3731,57154,0,53423,982846
2020/5/10,PA,3707,56611,0,52904,983389
2020/5/9,PA,3688,55316,0,51628,984684
2020/5/8,PA,3616,54238,0,50622,985762
2020/5/7,PA,3416,52915,0,49499,987085
2020/5/6,PA,3106,51845,0,48739,988155
2020/5/5,PA,3012,50957,0,47945,989043
2020/5/4,PA,2458,50092,0,47634,989908
2020/5/3,PA,2444,49267,0,46823,990733
2020/5/2,PA,2418,48305,0,45887,991695
2020/5/1,PA,2354,46971,0,44617,993029
2020/4/30,PA,2292,45763,0,43471,994237
2020/4/29,PA,2195,44366,0,42171,995634
2020/4/28,PA,1716,43264,0,41548,996736
2020/4/27,PA,1597,42050,0,40453,997950
2020/4/26,PA,1550,41165,0,39615,998835
2020/4/25,PA,1537,40049,0,38512,999951
2020/4/24,PA,1492,38652,0,37160,1001348
2020/4/23,PA,1421,37053,0,35632,1002947
2020/4/22,PA,1622,35684,0,34062,1004316
2020/4/21,PA,1564,34528,0,32964,1005472
2020/4/20,PA,1204,33232,0,32028,1006768
2020/4/19,PA,1112,32284,0,31172,1007716
2020/4/18,PA,836,31069,0,30233,1008931
2020/4/17,PA,756,29441,0,28685,1010559
2020/4/16,PA,707,27735,0,27028,1012265
2020/4/15,PA,647,26490,0,25843,1013510
2020/4/14,PA,584,25345,0,24761,1014655
2020/4/13,PA,524,24199,0,23675,1015801
2020/4/12,PA,507,22833,0,22326,1017167
2020/4/11,PA,494,21655,0,21161,1018345
2020/4/10,PA,416,19979,0,19563,1020021
2020/4/9,PA,338,18228,0,17890,1021772
2020/4/8,PA,309,16239,0,15930,1023761
2020/4/7,PA,240,14559,0,14319,1025441
2020/4/6,PA,162,12980,0,12818,1027020
2020/4/5,PA,150,11510,0,11360,1028490
2020/4/4,PA,136,10017,0,9881,1029983
2020/4/3,PA,102,8420,0,8318,1031580
2020/4/2,PA,90,7016,0,6926,1032984
2020/4/1,PA,74,5805,0,5731,1034195
2020/3/31,PA,63,4843,0,4780,1035157
2020/3/30,PA,49,4087,0,4038,1035913
2020/3/29,PA,38,3394,0,3356,1036606
2020/3/28,PA,34,2751,0,2717,1037249
2020/3/27,PA,22,2218,0,2196,1037782
2020/3/26,PA,16,1687,0,1671,1038313
2020/3/25,PA,11,1127,0,1116,1038873
2020/3/24,PA,7,851,0,844,1039149
2020/3/23,PA,6,644,0,638,1039356
2020/3/22,PA,2,479,0,477,1039521
2020/3/21,PA,2,371,0,369,1039629
2020/3/20,PA,1,268,0,267,1039732
2020/3/19,PA,1,185,0,184,1039815
2020/3/18,PA,1,133,0,132,1039867
2020/3/17,PA,0,96,0,96,1039904
2020/3/16,PA,0,76,0,76,1039924
2020/3/15,PA,0,63,0,63,1039937
2020/3/14,PA,0,47,0,47,1039953
2020/3/13,PA,0,41,0,41,1039959
2020/3/12,PA,0,22,0,22,1039978
2020/3/11,PA,0,16,0,16,1039984
2020/3/10,PA,0,12,0,12,1039988
2020/3/9,PA,0,10,0,10,1039990
2020/3/8,PA,0,6,0,6,1039994
2020/3/7,PA,0,4,0,4,1039996
2020/3/6,PA,0,2,0,2,1039998
2020/3/5,PA,0,0,0,0,1040000
2020/3/4,PA,0,0,0,0,1040000
2020/3/3,PA,0,0,0,0,1040000
